  Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,Sma,std, ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand,  Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand ,Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand ,Pgrid, Pbc, Pbd, Price_30_min, SoC,  ,Minute,Demand  ,Pgrid, Pbc, Pbd, Price_30_min, SoC 
 30, 207.294098, 130.000000, 0.000000, 77.294098, 0.001624, 87.147423,0.000000,165.124054,  ,30, 106.231003, 106.231003, 0.000000, 0.000000, 0.001235, 54.226231,  ,30, 103.797501, 103.797501, 0.000000, 0.000000, 0.001620, 73.572372,  ,30, 107.672997, 107.672997, 0.000000, 0.000000, 0.002263, 50.254574,  ,30, 104.642998, 104.642998, 0.000000, 0.000000, 0.001281, 86.281349,  ,30, 104.513000, 104.513000, 0.000000, 0.000000, 0.001281, 76.764099,  ,30, 105.506500, 105.506500, 0.000000, 0.000000, 0.001242, 50.062290 
 31, 207.294098, 130.000000, 0.000000, 77.294098, 0.001517, 86.939644,93.759995,6.589846,  ,31, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,31, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,31, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,31, 104.642998, 104.642998, 0.000000, 0.000000, 0.001256, 86.281349,  ,31, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,31, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 32, 207.294098, 130.000000, 0.000000, 77.294098, 0.001517, 86.731865,93.759995,6.589846,  ,32, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,32, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,32, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,32, 104.642998, 104.642998, 0.000000, 0.000000, 0.001256, 86.281349,  ,32, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,32, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 33, 207.294098, 130.000000, 0.000000, 77.294098, 0.001517, 86.524086,93.759995,6.589846,  ,33, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,33, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,33, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,33, 104.642998, 104.642998, 0.000000, 0.000000, 0.001256, 86.281349,  ,33, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,33, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 34, 207.294098, 130.000000, 0.000000, 77.294098, 0.001517, 86.316307,93.759995,6.589846,  ,34, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,34, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,34, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,34, 104.642998, 104.642998, 0.000000, 0.000000, 0.001256, 86.281349,  ,34, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,34, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 35, 207.294098, 130.000000, 0.000000, 77.294098, 0.001517, 86.108528,93.759995,6.589846,  ,35, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,35, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,35, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,35, 104.642998, 104.642998, 0.000000, 0.000000, 0.001256, 86.281349,  ,35, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,35, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 36, 207.294098, 130.000000, 0.000000, 77.294098, 0.001517, 85.900749,93.759995,6.589846,  ,36, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,36, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,36, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,36, 103.313004, 103.313004, 0.000000, 0.000000, 0.001256, 86.281349,  ,36, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,36, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 37, 202.494095, 130.000000, 0.000000, 72.494095, 0.001517, 85.705872,93.759995,6.589846,  ,37, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,37, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,37, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,37, 135.733902, 130.000000, 0.000000, 5.733902, 0.001256, 86.265938,  ,37, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,37, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 38, 241.594101, 130.000000, 0.000000, 111.594101, 0.001517, 85.405884,93.759995,6.589846,  ,38, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,38, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,38, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,38, 135.733902, 130.000000, 0.000000, 5.733902, 0.001256, 86.250526,  ,38, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,38, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 39, 241.594101, 130.000000, 0.000000, 111.594101, 0.001517, 85.105896,93.759995,6.589846,  ,39, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,39, 103.797501, 103.797501, 0.000000, 0.000000, 0.001434, 73.572372,  ,39, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,39, 135.733902, 130.000000, 0.000000, 5.733902, 0.001256, 86.235115,  ,39, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,39, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 40, 241.594101, 130.000000, 0.000000, 111.594101, 0.001517, 84.805908,93.759995,6.589846,  ,40, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,40, 137.467499, 130.000000, 0.000000, 7.467499, 0.001434, 73.552299,  ,40, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,40, 135.733902, 130.000000, 0.000000, 5.733902, 0.001256, 86.219704,  ,40, 104.513000, 104.513000, 0.000000, 0.000000, 0.001228, 76.764099,  ,40, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 41, 241.594101, 130.000000, 0.000000, 111.594101, 0.001517, 84.505920,93.759995,6.589846,  ,41, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,41, 138.797501, 130.000000, 0.000000, 8.797501, 0.001434, 73.528648,  ,41, 107.672997, 107.672997, 0.000000, 0.000000, 0.001653, 50.254574,  ,41, 135.733902, 130.000000, 0.000000, 5.733902, 0.001256, 86.204292,  ,41, 136.933899, 130.000000, 0.000000, 6.933899, 0.001228, 76.745461,  ,41, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
 42, 241.594101, 130.000000, 0.000000, 111.594101, 0.001517, 84.205933,93.759995,6.589846,  ,42, 106.231003, 106.231003, 0.000000, 0.000000, 0.001201, 54.226231,  ,42, 172.766693, 130.000000, 0.000000, 42.766693, 0.001434, 73.413681,  ,42, 142.673004, 130.000000, 0.000000, 12.673004, 0.001653, 50.220505,  ,42, 135.733902, 130.000000, 0.000000, 5.733902, 0.001256, 86.188881,  ,42, 136.933899, 130.000000, 0.000000, 6.933899, 0.001228, 76.726822,  ,42, 105.506500, 105.506500, 0.000000, 0.000000, 0.001131, 50.062290 
